ride_id,ride_start_time,ride_end_time,ride_start_time_ist,ride_end_time_ist,date,month,year,distance_m,duration_secs,efficiency_wh_km,efficiency_km_kwh,soc_usage_wh,soc_usage_percent,ride_start_lat,ride_start_lon,ride_end_lat,ride_end_lon,ride_start_location,ride_end_location,top_speed_kmph,avg_speed_kmph,riding_m,braking_m,coasting_m,eco_mode_distance_m,smart_eco_mode_distance_m,ride_mode_distance_m,sport_mode_distance_m,warp_mode_distance_m,warp_plus_mode_distance_m,zip_mode_distance_m,tags,speed,polyline,act_time
1767151715832,1767151715832,1767151853081,2025-12-31 08:58:35,2025-12-31 09:00:53,2025-12-31,2025-12-01,2025,576,137.2,22.7,44.1,13.0752,0.003533837838,12.018686,78.44042,12.020925,78.44249,,,33.1,16.6,255.2,73.7,247.1,0,0,576,0,0,0,0,,"[21,27,27,33,15]",ykjhAskw}MsBmBf@{DiB{BwAyAoD`B,9.5616
1767152270322,1767152270322,1767152547548,2025-12-31 09:07:50,2025-12-31 09:12:27,2025-12-31,2025-12-01,2025,512,277.2,36.9,27.1,18.8928,0.005106162162,12.020929,78.442505,12.020858,78.44245,,,27.6,7.3,377.9,123.9,10.2,0,0,511,0,0,0,0,,"[25,15,25,25,0]",yyjhAsxw}MeCwBeE{CxBrAjAbArCdC,3.7376
1767154791162,1767154791162,1767154928798,2025-12-31 09:49:51,2025-12-31 09:52:08,2025-12-31,2025-12-01,2025,581,137.6,32.9,30.4,19.1149,0.005166189189,12.020823,78.442406,12.018728,78.440445,,,32.2,16.7,342.2,131.9,106.9,0,0,581,0,0,0,0,,"[31,32,27,24,8]",cyjhA_xw}MjCmBnCrBv@bCW~CdB|A,9.7027
1767156100774,1767156100774,1767156731460,2025-12-31 10:11:40,2025-12-31 10:22:11,2025-12-31,2025-12-01,2025,3290,630.7,38.1,26.3,125.349,0.03387810811,12.018731,78.440384,12.017569,78.45526,,,55.7,20.7,2270.1,503.4,516.5,0,1033,2257,0,0,0,0,,"[36,32,32,38,45,52,55,37,37,39,41,36,40,43,42,53,56,49,49,39,29,35,39,38,37,38,47,46,41,21,25,15]",aljhAkkw}McBmEr@sBu@yC~@oCT}Cx@{DbDwCjCi@jBaBnAaCdCgBvAcA|AaAxCs@~AcCpBuDvCiDhCyCjCyCzAiCn@gAmAgAaC_BsCy@_D{@}GiBaDu@{D_BkBsBk@T_BvCwCzD,68.103
1767157640303,1767157640303,1767158932721,2025-12-31 10:37:20,2025-12-31 10:58:52,2025-12-31,2025-12-01,2025,3480,1292.4,40.3,24.8,140.244,0.03790378378,12.017625,78.45525,12.020848,78.44239,,,46.8,10.7,2081,1214.5,184.4,0,0,3480,0,0,0,0,,"[21,27,41,45,45,34,16,40,35,41,31,32,34,47,47,43,34,40,39,34,33,45,45,40,24,22,26,22,22,24,20,27,32,16]",mdjhAuhz}M~AoBdB_DtDZhDzAlD|@hBd@[p@kApE]pBu@vC{BxCqCjBa@bBJdDv@rD\~C@dCsEzEkA`BaCh@sAz@gElFCvD{@zCo@pAPh@`@~BtArFAGqBcDz@uCeCcB}BYqB|@,37.236
1767166324515,1767166324515,1767166775124,2025-12-31 13:02:04,2025-12-31 13:09:35,2025-12-31,2025-12-01,2025,1288,450.6,24.6,40.6,31.6848,0.008563459459,12.02085,78.44244,12.020851,78.4424,,,41.7,11.3,901.6,143,243.4,0,0,657,629,0,0,0,,"[19,25,23,21,18,22,22,27,20,22,35,22]",iyjhAexw}MkBm@i@rD_Cu@uCfBwAVw@bDHa@pAmD|BNjBkArBs@`Cm@,14.5544
1767168775492,1767168775492,1767168931574,2025-12-31 13:42:55,2025-12-31 13:45:31,2025-12-31,2025-12-01,2025,579,156.1,24.4,41.1,14.1276,0.00381827027,12.020642,78.4426,12.018695,78.4404,,,32.5,14.7,412.2,0,166.8,0,0,0,579,0,0,0,,"[30,33,26,19,22]",_xjhAeyw}MdAMlBCtBzAShDnB`E,8.5113
1767170866369,1767170866369,1767171011896,2025-12-31 14:17:46,2025-12-31 14:20:11,2025-12-31,2025-12-01,2025,575,145.5,19.3,51.8,11.0975,0.002999324324,12.018793,78.44046,12.020827,78.44242,,,34.5,15.6,358.8,29.9,185.7,0,0,0,575,0,0,0,[3],"[20,25,35,26,14]",mljhA{kw}M}AsDVgD}CcCm@IeC`B,8.97
1767186974785,1767186974785,1767187460360,2025-12-31 18:46:14,2025-12-31 18:54:20,2025-12-31,2025-12-01,2025,1121,485.6,23.6,42.4,26.4556,0.007150162162,12.0207405,78.44229,12.020805,78.442276,,,29.6,9.1,844.1,69.5,207.4,0,0,0,1121,0,0,0,,"[22,30,23,21,7,15,24,22,24,25,3]",sxjhAiww}MhBcB|Bl@vBxAs@tEhB`CqA_@W}CTmDeCgB}ALkBjA,10.2011
1767239122235,1767239122235,1767239650404,2026-01-01 09:15:22,2026-01-01 09:24:10,2026-01-01,2026-01-01,2026,986,528.2,27,37.1,26.622,0.007195135135,12.020889,78.44238,12.020853,78.44221,,,26.1,7.4,672.5,0,313.5,0,0,391,591,0,0,0,,"[18,16,16,25,23,16,22,24,17]",qyjhA{ww}MmBiBaEw@A?zCTvBnBf@TuC}BPP`CrC,7.2964
1767241271326,1767241271326,1767241548173,2026-01-01 09:51:11,2026-01-01 09:55:48,2026-01-01,2026-01-01,2026,537,276.8,26.7,37.5,14.3379,0.003875108108,12.020838,78.44217,12.020826,78.44238,,,25.5,7.7,329.2,10.2,198.2,0,0,534,0,0,0,0,,"[20,26,21,24,7]",eyjhAcww}MgBuBgCyBg@IjCfBjCvB,4.1349
1767244995997,1767244995997,1767245998887,2026-01-01 10:53:15,2026-01-01 11:09:58,2026-01-01,2026-01-01,2026,1286,1002.9,28.2,35.4,36.2652,0.009801405405,12.020477,78.442444,12.021929,78.4434,,,34.6,5.1,1040.4,1.3,244.3,0,0,329,0,944,0,0,,"[28,35,26,22,18,19,22,0,25,18,19,23]",_wjhAixw}MJiEqCf@s@dAd@d@dDh@q@jA}AcBkBcBlBdBhC\eAXiFsE,6.5586
1767246398218,1767246398218,1767246570232,2026-01-01 11:16:38,2026-01-01 11:19:30,2026-01-01,2026-01-01,2026,285,172,34.2,29.3,9.747,0.002634324324,12.021917,78.44338,12.0207815,78.442314,,,26,6.6,235.1,33.9,16,0,0,285,0,0,0,0,,"[26,17]",_`khAc~w}MvEbEJP,1.881
1767248162447,1767248162447,1767248642724,2026-01-01 11:46:02,2026-01-01 11:54:02,2026-01-01,2026-01-01,2026,369,480.3,49.1,20.4,18.1179,0.00489672973,12.020751,78.442276,12.021652,78.44313,,,25.8,3,156.8,208.1,4.1,0,0,369,0,0,0,0,,"[26,10,9]",i_khAw|w}MnCpBPHaCuB,1.107
1767251760525,1767251760525,1767252085508,2026-01-01 12:46:00,2026-01-01 12:51:25,2026-01-01,2026-01-01,2026,285,325,33,30.3,9.405,0.002541891892,12.020965,78.4424,12.022328,78.44333,,,20,3.5,224,61,0,0,0,285,0,0,0,0,,"[3,13]",_zjhA_xw}MaCqCoCg@,0.9975
